identifier,entity
3,Self-Analysis (Self-Awareness)
4,Self Confidence (Self-Awareness)
5,Purposefulness (Self-Awareness)
6,Self-Learning (Self-Awareness)
8,Stress Management (Personal Effectiveness)
9,Resilience (Personal Effectiveness)
10,Navigating Ambiguity (Personal Effectiveness)
12,Analytical Thinking (Solution Orientation)
13,Attention to Detail (Solution Orientation)
14,Systems Thinking (Solution Orientation)
16,Active Listening (Communication)
17,Reading & Comprehension (Communication)
18,Verbal & Non-Verbal Fluency (Communication)
19,Presentation Skills (Communication)
21,Goal Setting (Outcome Orientation)
22,Accountability (Outcome Orientation)
23,Initiative and Drive (Outcome Orientation)
24,Commitment to Quality (Outcome Orientation)
26,Relationship Management (Collaboration)
27,Diversity & Inclusion (Collaboration)
28,Knowledge Sharing (Collaboration)
30,Empathy (Service Orientation)
31,Responsiveness (Service Orientation)
32,Service Excellence (wrt citizens) (Service Orientation)
34,Planning & Prioritization (Operational Excellence)
35,Resource Management (Operational Excellence)
36,Process Excellence (Operational Excellence)
37,Continuous Improvement (Operational Excellence)
39,Lateral Thinking (Creativity & Innovation)
40,Transformation Orientation (Creativity & Innovation)
42,Global mindset (Strategic Leadership)
43,Forward Thinking (Strategic Leadership)
44,Executive Presence (Strategic Leadership)
45,Sustainable mindset (Strategic Leadership)
47,Influencing and Negotiation (Collaborative Leadership)
48,Conflict Management (Collaborative Leadership)
50,Mentoring (Team Leadership)
51,Sharing constructive feedback (Team Leadership)
52,Inspiring others (Team Leadership)
54,Logical Reasoning (Decision Making)
55,Sound Judgement (Decision Making)
58,Design Thinking (Citizen Centricity)
59,Citizen Partnering & Collaboration (Citizen Centricity)
60,"PEST (Political, Economic, Social, Technological) Consciousness (Citizen Centricity)"
62,Research & Need Analysis (Policy Architecture)
63,Policy design/ amendment (Policy Architecture)
64,Policy implementation (Policy Architecture)
65,Policy monitoring & impact assessment (Policy Architecture)
67,Rules of business (AoB/ToB) (Cabinet note preparation)
68,Cabinet note writing (Cabinet note preparation)
70,Scheme/Program Design (Government Program Formulation)
71,Feasibility & Risk Assessment (Government Program Formulation)
72,Implementation & Outreach (Government Program Formulation)
74,Project Planning (Project Management)
75,Project Implementation (Project Management)
76,Project Evaluation & Monitoring (Project Management)
78,Procurement Mgmt. through GeM (Public Procurement (GFR))
79,Procurement of Services / Goods / Works (Public Procurement (GFR))
80,Contract Management (Public Procurement (GFR))
81,Vendor / Consultant Management (Public Procurement (GFR))
83,Maintenance and Disposal of materials (Material Management)
