identifier,entity
ACCOUNT SUPERINTENDENT,ACCOUNT SUPERINTENDENT
Accountant,Accountant
ACCOUNTANT GENERAL,ACCOUNTANT GENERAL
ACCOUNTS AND STATISTICAL OFFICER,ACCOUNTS AND STATISTICAL OFFICER
Accounts Assistant,Accounts Assistant
Accounts Executive,Accounts Executive
Accounts Officer,Accounts Officer
ACCOUNTS OFFICER - I,ACCOUNTS OFFICER - I
ACCOUNTS OFFICER - II,ACCOUNTS OFFICER - II
ACCOUNTS OFFICER GRADE-I,ACCOUNTS OFFICER GRADE-I
ACCOUNTS OFFICER GRADE-II,ACCOUNTS OFFICER GRADE-II
ACTING CHAIRPERSON,ACTING CHAIRPERSON
ACTING DIRECTOR GENERAL,ACTING DIRECTOR GENERAL
ACTING LIBRARIAN,ACTING LIBRARIAN
ADDITIONAL  DIRECTOR GENERAL HEALTH SERVICE,ADDITIONAL  DIRECTOR GENERAL HEALTH SERVICE
ADDITIONAL ADMINISTRATOR,ADDITIONAL ADMINISTRATOR
ADDITIONAL ADVISER,ADDITIONAL ADVISER
ADDITIONAL ADVOCATE,ADDITIONAL ADVOCATE
ADDITIONAL ASSISTANT DIRECTOR,ADDITIONAL ASSISTANT DIRECTOR
ADDITIONAL ASSISTANT INSPECTOR GENERAL,ADDITIONAL ASSISTANT INSPECTOR GENERAL
ADDITIONAL CENTRAL PROVIDENT FUND COMMISSIONER,ADDITIONAL CENTRAL PROVIDENT FUND COMMISSIONER
ADDITIONAL CHIEF,ADDITIONAL CHIEF
ADDITIONAL CHIEF ADMINISTRATOR,ADDITIONAL CHIEF ADMINISTRATOR
ADDITIONAL CHIEF ADVISER,ADDITIONAL CHIEF ADVISER
ADDITIONAL CHIEF ELECTION COMMISSIONER,ADDITIONAL CHIEF ELECTION COMMISSIONER
ADDITIONAL CHIEF ELECTION ENGINEER,ADDITIONAL CHIEF ELECTION ENGINEER
ADDITIONAL CHIEF ELECTORAL OFFICER,ADDITIONAL CHIEF ELECTORAL OFFICER
ADDITIONAL CHIEF ELECTRICAL INSPECTOR,ADDITIONAL CHIEF ELECTRICAL INSPECTOR
ADDITIONAL CHIEF ENGINEER,ADDITIONAL CHIEF ENGINEER
ADDITIONAL CHIEF EXECUTIVE OFFICER,ADDITIONAL CHIEF EXECUTIVE OFFICER
ADDITIONAL CHIEF HEALTH DIRECTOR,ADDITIONAL CHIEF HEALTH DIRECTOR
ADDITIONAL CHIEF INSPECTOR,ADDITIONAL CHIEF INSPECTOR
ADDITIONAL CHIEF LABOUR COMMISSIONER,ADDITIONAL CHIEF LABOUR COMMISSIONER
ADDITIONAL CHIEF MECHANICAL ENGINEER,ADDITIONAL CHIEF MECHANICAL ENGINEER
ADDITIONAL CHIEF MEDICAL DIRECTOR,ADDITIONAL CHIEF MEDICAL DIRECTOR
ADDITIONAL CHIEF MEDICAL SUPERINTENDENT,ADDITIONAL CHIEF MEDICAL SUPERINTENDENT
ADDITIONAL CHIEF OFFICER,ADDITIONAL CHIEF OFFICER
ADDITIONAL CHIEF SECRETARY,ADDITIONAL CHIEF SECRETARY
ADDITIONAL CHIEF VIGILANCE COMMISSIONER,ADDITIONAL CHIEF VIGILANCE COMMISSIONER
ADDITIONAL COLLECTOR,ADDITIONAL COLLECTOR
ADDITIONAL COMMANDER WORKS ENGINEER,ADDITIONAL COMMANDER WORKS ENGINEER
ADDITIONAL COMMISSIONER,ADDITIONAL COMMISSIONER
ADDITIONAL COMMISSIONER OF EXCISE,ADDITIONAL COMMISSIONER OF EXCISE
ADDITIONAL COMMISSIONER OF INCOME TAX,ADDITIONAL COMMISSIONER OF INCOME TAX
ADDITIONAL COMMISSIONER OF POLICE,ADDITIONAL COMMISSIONER OF POLICE
ADDITIONAL COMMISSIONER OF SALES TAX,ADDITIONAL COMMISSIONER OF SALES TAX
ADDITIONAL COMPTROLLER AND AUDITOR GENERAL,ADDITIONAL COMPTROLLER AND AUDITOR GENERAL
ADDITIONAL CONFERENCE SECRETARY,ADDITIONAL CONFERENCE SECRETARY
ADDITIONAL CONTRIBUTORY PROVIDENT FUND COMMISSIONER,ADDITIONAL CONTRIBUTORY PROVIDENT FUND COMMISSIONER
ADDITIONAL CONTROLLER,ADDITIONAL CONTROLLER
ADDITIONAL CONTROLLER GENERAL OF ACCOUNTS,ADDITIONAL CONTROLLER GENERAL OF ACCOUNTS
ADDITIONAL CONTROLLER GENERAL OF DEFENCE ACCOUNTS,ADDITIONAL CONTROLLER GENERAL OF DEFENCE ACCOUNTS
ADDITIONAL CONTROLLER OF ACCOUNTS,ADDITIONAL CONTROLLER OF ACCOUNTS
ADDITIONAL CONTROLLER OF DEFENCE ACCOUNTS,ADDITIONAL CONTROLLER OF DEFENCE ACCOUNTS
ADDITIONAL CONTROLLER OF FINANCE,ADDITIONAL CONTROLLER OF FINANCE
ADDITIONAL CONTROLLER OF FINANCE AND ACCOUNTS,ADDITIONAL CONTROLLER OF FINANCE AND ACCOUNTS
ADDITIONAL DEFENCE ESTATES OFFICER,ADDITIONAL DEFENCE ESTATES OFFICER
ADDITIONAL DEPARTMENTAL ENQUIRY COMMISSIONER,ADDITIONAL DEPARTMENTAL ENQUIRY COMMISSIONER
ADDITIONAL DEPUTY COLLECTOR,ADDITIONAL DEPUTY COLLECTOR
ADDITIONAL DEPUTY COMMISSIONER,ADDITIONAL DEPUTY COMMISSIONER
ADDITIONAL DEPUTY COMMISSIONER OF POLICE,ADDITIONAL DEPUTY COMMISSIONER OF POLICE
ADDITIONAL DEPUTY COMPTROLLER,ADDITIONAL DEPUTY COMPTROLLER
ADDITIONAL DEPUTY COMPTROLLER AND AUDITOR GENERAL,ADDITIONAL DEPUTY COMPTROLLER AND AUDITOR GENERAL
ADDITIONAL DEPUTY DIRECTOR,ADDITIONAL DEPUTY DIRECTOR
ADDITIONAL DEPUTY DIRECTOR GENERAL,ADDITIONAL DEPUTY DIRECTOR GENERAL
ADDITIONAL DEVELOPMENT COMMISSIONER,ADDITIONAL DEVELOPMENT COMMISSIONER
ADDITIONAL DIRECTOR,ADDITIONAL DIRECTOR
ADDITIONAL DIRECTOR GENERAL,ADDITIONAL DIRECTOR GENERAL
ADDITIONAL DIRECTOR GENERAL FOREIGN TRADE,ADDITIONAL DIRECTOR GENERAL FOREIGN TRADE
ADDITIONAL DIRECTOR GENERAL OF POLICE,ADDITIONAL DIRECTOR GENERAL OF POLICE
ADDITIONAL DIRECTOR GENERAL QUALITY ASSURANCE,ADDITIONAL DIRECTOR GENERAL QUALITY ASSURANCE
ADDITIONAL DIRECTOR OF INCOME TAX,ADDITIONAL DIRECTOR OF INCOME TAX
ADDITIONAL DISTRICT COLLECTOR,ADDITIONAL DISTRICT COLLECTOR
ADDITIONAL DISTRICT MAGISTRATE,ADDITIONAL DISTRICT MAGISTRATE
ADDITIONAL DIVISIONAL COMMISSIONER,ADDITIONAL DIVISIONAL COMMISSIONER
ADDITIONAL DIVISIONAL MECHANICAL ENGINEER,ADDITIONAL DIVISIONAL MECHANICAL ENGINEER
ADDITIONAL DIVISIONAL MEDICAL OFFICER,ADDITIONAL DIVISIONAL MEDICAL OFFICER
ADDITIONAL DIVISIONAL RAILWAY MANAGER,ADDITIONAL DIVISIONAL RAILWAY MANAGER
ADDITIONAL DRUGS CONTROLLER,ADDITIONAL DRUGS CONTROLLER
ADDITIONAL ECONOMIC ADVISER,ADDITIONAL ECONOMIC ADVISER
ADDITIONAL ENGINEER,ADDITIONAL ENGINEER
ADDITIONAL EXCISE AND TAXATION COMMISSIONER,ADDITIONAL EXCISE AND TAXATION COMMISSIONER
ADDITIONAL EXCISE COMMISSIONER,ADDITIONAL EXCISE COMMISSIONER
ADDITIONAL EXECUTIVE DIRECTOR,ADDITIONAL EXECUTIVE DIRECTOR
ADDITIONAL EXECUTIVE OFFICER,ADDITIONAL EXECUTIVE OFFICER
ADDITIONAL FINANCIAL ADVISER,ADDITIONAL FINANCIAL ADVISER
ADDITIONAL FINANCIAL COMMISSIONER,ADDITIONAL FINANCIAL COMMISSIONER
ADDITIONAL GENERAL MANAGER,ADDITIONAL GENERAL MANAGER
ADDITIONAL INDUSTRIAL ADVISER,ADDITIONAL INDUSTRIAL ADVISER
ADDITIONAL INDUSTRIES COMMISSIONER,ADDITIONAL INDUSTRIES COMMISSIONER
ADDITIONAL INSPECTOR GENERAL,ADDITIONAL INSPECTOR GENERAL
ADDITIONAL INTEGRATED FINANCIAL ADVISER,ADDITIONAL INTEGRATED FINANCIAL ADVISER
ADDITIONAL LABOUR COMMISSIONER,ADDITIONAL LABOUR COMMISSIONER
ADDITIONAL LEGAL ADVISOR,ADDITIONAL LEGAL ADVISOR
ADDITIONAL LEGISLATIVE OFFICER,ADDITIONAL LEGISLATIVE OFFICER
ADDITIONAL MAGISTRATE,ADDITIONAL MAGISTRATE
ADDITIONAL MANAGING DIRECTOR,ADDITIONAL MANAGING DIRECTOR
ADDITIONAL MEDICAL SUPERINTENDENT,ADDITIONAL MEDICAL SUPERINTENDENT
ADDITIONAL MEMBER,ADDITIONAL MEMBER
ADDITIONAL METROPOLITAN COMMISSIONER,ADDITIONAL METROPOLITAN COMMISSIONER
ADDITIONAL MISSION DIRECTOR,ADDITIONAL MISSION DIRECTOR
ADDITIONAL MUNICIPAL COMMISSIONER,ADDITIONAL MUNICIPAL COMMISSIONER
ADDITIONAL PRINCIPAL CHIEF CONSERVATOR OF FORESTS,ADDITIONAL PRINCIPAL CHIEF CONSERVATOR OF FORESTS
ADDITIONAL PRINCIPAL PRIVATE SECRETARY,ADDITIONAL PRINCIPAL PRIVATE SECRETARY
ADDITIONAL PRINCIPAL SECRETARY,ADDITIONAL PRINCIPAL SECRETARY
ADDITIONAL PRIVATE SECRETARY,ADDITIONAL PRIVATE SECRETARY
ADDITIONAL PROFESSOR,ADDITIONAL PROFESSOR
ADDITIONAL PROJECT DIRECTOR,ADDITIONAL PROJECT DIRECTOR
ADDITIONAL PUBLIC RELATIONS OFFICER,ADDITIONAL PUBLIC RELATIONS OFFICER
ADDITIONAL REGIONAL COMMISSIONER,ADDITIONAL REGIONAL COMMISSIONER
ADDITIONAL REGIONAL OFFICER,ADDITIONAL REGIONAL OFFICER
ADDITIONAL REGISTRAR,ADDITIONAL REGISTRAR
ADDITIONAL REGISTRAR GENERAL OF INDIA,ADDITIONAL REGISTRAR GENERAL OF INDIA
ADDITIONAL RESIDENT COMMISSIONER,ADDITIONAL RESIDENT COMMISSIONER
ADDITIONAL RURAL DEVELOPMENT COMMISSIONER,ADDITIONAL RURAL DEVELOPMENT COMMISSIONER
ADDITIONAL SECRETARY,ADDITIONAL SECRETARY
ADDITIONAL SECRETARY & FINANCIAL ADVISOR,ADDITIONAL SECRETARY & FINANCIAL ADVISOR
ADDITIONAL SECRETARY & MANAGING DIRECTOR,ADDITIONAL SECRETARY & MANAGING DIRECTOR
ADDITIONAL SEROLOGIST,ADDITIONAL SEROLOGIST
ADDITIONAL SESSIONS JUDGE,ADDITIONAL SESSIONS JUDGE
ADDITIONAL SETTLEMENT COMMISSIONER,ADDITIONAL SETTLEMENT COMMISSIONER
ADDITIONAL SPECIAL LAND ACQUISITION OFFICER,ADDITIONAL SPECIAL LAND ACQUISITION OFFICER
ADDITIONAL SUPERINTENDENT OF POLICE,ADDITIONAL SUPERINTENDENT OF POLICE
ADDITIONAL SURVEYOR GENERAL,ADDITIONAL SURVEYOR GENERAL
ADDITIONAL TEXTILE COMMISSIONER,ADDITIONAL TEXTILE COMMISSIONER
ADDITIONAL TRANSPORT COMMISSIONER,ADDITIONAL TRANSPORT COMMISSIONER
ADDITIONAL TREASURY OFFICER,ADDITIONAL TREASURY OFFICER
ADMIN,ADMIN
ADMIN OFFICER,ADMIN OFFICER
ADMINISTRATION ASSISTANT,ADMINISTRATION ASSISTANT
ADMINISTRATIVE ASSISTANT,ADMINISTRATIVE ASSISTANT
ADMINISTRATIVE MEDICAL OFFICER,ADMINISTRATIVE MEDICAL OFFICER
ADMINISTRATIVE MEMBER,ADMINISTRATIVE MEMBER
ADMINISTRATIVE OFFICER,ADMINISTRATIVE OFFICER
ADMINISTRATIVE OFFICER GRADE II,ADMINISTRATIVE OFFICER GRADE II
ADMINISTRATIVE OFFICER GRADE III,ADMINISTRATIVE OFFICER GRADE III
ADMINISTRATIVE OFFICER I,ADMINISTRATIVE OFFICER I
ADMINISTRATIVE OFFICER II,ADMINISTRATIVE OFFICER II
ADMINISTRATIVE SUPERINTENDENT,ADMINISTRATIVE SUPERINTENDENT
ADMINISTRATOR,ADMINISTRATOR
ADVISER,ADVISER
AERONAUTICAL OFFICER,AERONAUTICAL OFFICER
AGRICULTURAL PRICE COMMISSIONER,AGRICULTURAL PRICE COMMISSIONER
AGRICULTURAL PRODUCTION COMMISSIONER,AGRICULTURAL PRODUCTION COMMISSIONER
AGRICULTURE ASSISTANT,AGRICULTURE ASSISTANT
AGRICULTURE COMMISSIONER,AGRICULTURE COMMISSIONER
AGRICULTURE INSPECTOR,AGRICULTURE INSPECTOR
AGRICULTURE MARKETING ADVISER,AGRICULTURE MARKETING ADVISER
AGRICULTURE OFFICER,AGRICULTURE OFFICER
AIDE-DE-CAMP,AIDE-DE-CAMP
AIR CONDITIONER MECHANIC,AIR CONDITIONER MECHANIC
AIR SAFETY OFFICER,AIR SAFETY OFFICER
AIRWORTHINESS OFFICER,AIRWORTHINESS OFFICER
ALTERNATE CUSTODIAN,ALTERNATE CUSTODIAN
ALTERNATE FUNCTIONARY,ALTERNATE FUNCTIONARY
AMBASSADOR,AMBASSADOR
ANAESTHETIST,ANAESTHETIST
ANALYST,ANALYST
ANALYST A,ANALYST A
ANALYST B,ANALYST B
ANALYST C,ANALYST C
ANALYST D,ANALYST D
ANALYST E,ANALYST E
ANALYST F,ANALYST F
ANASTHETIC SURGEON,ANASTHETIC SURGEON
ANCHOR,ANCHOR
ANESTHESIA SPECIALIST,ANESTHESIA SPECIALIST
ANIMAL ATTENDANT,ANIMAL ATTENDANT
ANIMAL HUSBANDRY,ANIMAL HUSBANDRY
ANNOUNCER GRADE-I,ANNOUNCER GRADE-I
ANNOUNCER GRADE-II,ANNOUNCER GRADE-II
ANNOUNCER GRADE-III,ANNOUNCER GRADE-III
ANNOUNCER GRADE-IV,ANNOUNCER GRADE-IV
ANTI MALARIA WORKER,ANTI MALARIA WORKER
APPELLATE ASSISTANT COMMISSIONER,APPELLATE ASSISTANT COMMISSIONER
APPELLATE COMMISSIONER,APPELLATE COMMISSIONER
ARCHAEOLOGICAL CONSERVATION ENGINEER,ARCHAEOLOGICAL CONSERVATION ENGINEER
ARCHITECT,ARCHITECT
ARCHITECTUAL ASSISTANT,ARCHITECTUAL ASSISTANT
ARCHITECTURAL ASSISTANT GRADE-I,ARCHITECTURAL ASSISTANT GRADE-I
ARCHITECTURAL ASSISTANT GRADE-II,ARCHITECTURAL ASSISTANT GRADE-II
ARCHIVAL SUPERINTENDENT,ARCHIVAL SUPERINTENDENT
AREA DEVELOPMENT COMMISSIONER,AREA DEVELOPMENT COMMISSIONER
AREA MANAGER,AREA MANAGER
AREA OFFICER,AREA OFFICER
AREA ORGANISER,AREA ORGANISER
ARTIST,ARTIST
ARTIST A,ARTIST A
ARTIST B,ARTIST B
ARTIST D,ARTIST D
ARTIST GRADE I,ARTIST GRADE I
ASSISTANT,ASSISTANT
ASSISTANT  CONTROLLER GENERAL OF DEFENCE ACCOUNTS,ASSISTANT  CONTROLLER GENERAL OF DEFENCE ACCOUNTS
ASSISTANT  CONTROLLER OF FINANCE AND ACCOUNTS,ASSISTANT  CONTROLLER OF FINANCE AND ACCOUNTS
ASSISTANT  PROVIDENT FUND COMMISSIONER,ASSISTANT  PROVIDENT FUND COMMISSIONER
ASSISTANT ACCOUNTANT,ASSISTANT ACCOUNTANT
ASSISTANT ACCOUNTANT GENERAL,ASSISTANT ACCOUNTANT GENERAL
ASSISTANT ACCOUNTS OFFICER,ASSISTANT ACCOUNTS OFFICER
ASSISTANT ADMIN OFFICER,ASSISTANT ADMIN OFFICER
ASSISTANT ADMINISTRATIVE OFFICER,ASSISTANT ADMINISTRATIVE OFFICER
ASSISTANT ADVISER,ASSISTANT ADVISER
ASSISTANT ARCHITECT,ASSISTANT ARCHITECT
ASSISTANT ARCHITECT I,ASSISTANT ARCHITECT I
ASSISTANT ARCHITECT II,ASSISTANT ARCHITECT II
ASSISTANT ARCHIVIST,ASSISTANT ARCHIVIST
ASSISTANT ARTIST,ASSISTANT ARTIST
ASSISTANT ATTACHE,ASSISTANT ATTACHE
ASSISTANT AUDIT OFFICER,ASSISTANT AUDIT OFFICER
ASSISTANT BLOCK DEVELOPMENT OFFICER,ASSISTANT BLOCK DEVELOPMENT OFFICER
ASSISTANT CAMERAMAN,ASSISTANT CAMERAMAN
ASSISTANT CENTRAL INTELLIGENCE OFFICER,ASSISTANT CENTRAL INTELLIGENCE OFFICER
ASSISTANT CHEMIST,ASSISTANT CHEMIST
ASSISTANT CHEMIST METALLURGIST,ASSISTANT CHEMIST METALLURGIST
ASSISTANT CHIEF,ASSISTANT CHIEF
ASSISTANT CHIEF ACCOUNTS OFFICER,ASSISTANT CHIEF ACCOUNTS OFFICER
