identifier,entity
1,Assamese
2,Bengali
3,Bodo
4,Dogri
5,Dzongkha
6,English
7,Gujarati
8,Hindi
9,Kannada
10,Kashmiri
11,Konkani
12,Maithili
13,Malayalam
14,Manipuri
15,Marathi
17,Odia
18,Punjabi
19,Sanskrit
20,Santali
21,Sindhi
22,Tamil
23,Telugu
24,Urdu
25,Algerian Arabic
26,Amharic
27,Bavarian
28,Burmese
29,Cebuano
30,Chittagonian
31,Czech
32,Dutch
33,Egyptian Arabic
34,French
35,Gan Chinese
36,German
37,Greek
38,Hakka Chinese
39,Hausa
40,Hejazi Arabic
41,Hungarian
42,Igbo
43,Indonesian (Indonesian Malay)
44,Iranian Persian
45,Italian
46,Japanese
47,Javanese
48,Jin Chinese
49,Kazakh
50,Khmer
51,Kinyarwanda
52,Korean
53,Language
54,Malay (Malaysian Malay)
55,Mandarin Chinese
56,Mesopotamian Arabic
57,Min Bei Chinese
58,Min Dong Chinese
59,Min Nan Chinese
60,Moroccan Arabic
61,Nepali
62,Nigerian Fulfulde
63,North Levantine Arabic
64,Northern Kurdish
65,Northern Pashto
66,Northern Uzbek
67,Polish
68,Portuguese
69,Romanian
70,Rundi
71,Russian
72,Saʽidi Arabic
73,Sanaani Spoken Arabic
74,Saraiki
75,Sinhalese
76,Somali
77,South Azerbaijani
78,South Levantine Arabic
79,Southern Pashto
80,Spanish
81,Sudanese Arabic
82,Sunda
83,Sylheti
84,Tagalog
85,Taʽizzi-Adeni Arabic
86,Thai
87,Tunisian Arabic
88,Turkish
89,Ukrainian
90,Urdu (Persianised Hindustani)
91,Uyghur
92,Vietnamese
93,Wu Chinese
94,Xiang Chinese
95,Yoruba
96,Yue Chinese
97,Zulu
