identifier,entity
Assamese,Assamese
Bengali,Bengali
Bodo,Bodo
Dogri,Dogri
Dzongkha,Dzongkha
English,English
Gujarati,Gujarati
Hindi,Hindi
Kannada,Kannada
Kashmiri,Kashmiri
Konkani,Konkani
Maithili,Maithili
Malayalam,Malayalam
Manipuri,Manipuri
Marathi,Marathi
Odia,Odia
Punjabi,Punjabi
Sanskrit,Sanskrit
Santali,Santali
Sindhi,Sindhi
Tamil,Tamil
Telugu,Telugu
Urdu,Urdu
Algerian Arabic,Algerian Arabic
Amharic,Amharic
Bavarian,Bavarian
Burmese,Burmese
Cebuano,Cebuano
Chittagonian,Chittagonian
Czech,Czech
Dutch,Dutch
Egyptian Arabic,Egyptian Arabic
French,French
Gan Chinese,Gan Chinese
German,German
Greek,Greek
Hakka Chinese,Hakka Chinese
Hausa,Hausa
Hejazi Arabic,Hejazi Arabic
Hungarian,Hungarian
Igbo,Igbo
Indonesian (Indonesian Malay),Indonesian (Indonesian Malay)
Iranian Persian,Iranian Persian
Italian,Italian
Japanese,Japanese
Javanese,Javanese
Jin Chinese,Jin Chinese
Kazakh,Kazakh
Khmer,Khmer
Kinyarwanda,Kinyarwanda
Korean,Korean
Language,Language
Malay (Malaysian Malay),Malay (Malaysian Malay)
Mandarin Chinese,Mandarin Chinese
Mesopotamian Arabic,Mesopotamian Arabic
Min Bei Chinese,Min Bei Chinese
Min Dong Chinese,Min Dong Chinese
Min Nan Chinese,Min Nan Chinese
Moroccan Arabic,Moroccan Arabic
Nepali,Nepali
Nigerian Fulfulde,Nigerian Fulfulde
North Levantine Arabic,North Levantine Arabic
Northern Kurdish,Northern Kurdish
Northern Pashto,Northern Pashto
Northern Uzbek,Northern Uzbek
Polish,Polish
Portuguese,Portuguese
Romanian,Romanian
Rundi,Rundi
Russian,Russian
Saʽidi Arabic,Saʽidi Arabic
Sanaani Spoken Arabic,Sanaani Spoken Arabic
Saraiki,Saraiki
Sinhalese,Sinhalese
Somali,Somali
South Azerbaijani,South Azerbaijani
South Levantine Arabic,South Levantine Arabic
Southern Pashto,Southern Pashto
Spanish,Spanish
Sudanese Arabic,Sudanese Arabic
Sunda,Sunda
Sylheti,Sylheti
Tagalog,Tagalog
Taʽizzi-Adeni Arabic,Taʽizzi-Adeni Arabic
Thai,Thai
Tunisian Arabic,Tunisian Arabic
Turkish,Turkish
Ukrainian,Ukrainian
Urdu (Persianised Hindustani),Urdu (Persianised Hindustani)
Uyghur,Uyghur
Vietnamese,Vietnamese
Wu Chinese,Wu Chinese
Xiang Chinese,Xiang Chinese
Yoruba,Yoruba
Yue Chinese,Yue Chinese
Zulu,Zulu
